,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,0.01818968906402588,12.2,0.01818968906402588,12.2,431010,224512000,20,50
1,0.011655973122517267,97.115,0.011734119820594788,97.63,394660,196864000,18,46
2,0.0115541266421477,98.37166666666667,0.011680062556266784,98.24,350310,167168000,16,41
3,0.011527242386341095,98.66333333333333,0.011647797191143035,98.73,306460,139520000,14,36
4,0.011510053018728893,98.885,0.011647317719459534,98.68,271410,117196800,12,32
5,0.011495235319932302,99.08166666666666,0.011644299793243409,98.7,229210,97126400,11,27
6,0.01149134407043457,99.11833333333334,0.011649290430545807,98.63,187260,78080000,10,22
7,0.011488393610715866,99.16666666666667,0.011644411873817444,98.72,153310,60262400,8,18
8,0.011529179626703263,98.665,0.011667359900474548,98.46,111610,41420800,6,13
9,0.011518766053517659,98.83,0.01166886521577835,98.43,86610,29542400,4,10
10,0.011778129114707311,95.82333333333334,0.011786044192314148,97.04,53860,16640000,2,6
11,0.011600345985094707,97.86833333333334,0.011680022346973419,98.24,53860,16640000,2,6
